symbol,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,regime,strategy,reason
AMD,LONG,2023-03-06 05:00:00+00:00,2023-03-10 05:00:00+00:00,81.16,82.67,1,1.5100000000000051,1.8605224248398289,unknown,trend_following,Reversed position due to new SHORT signal
AAPL,SHORT,2023-03-09 05:00:00+00:00,2023-03-13 04:00:00+00:00,150.59,150.47,1,0.12000000000000455,0.07968656617305568,unknown,trend_following,Reversed position due to new LONG signal
MSFT,SHORT,2023-03-09 05:00:00+00:00,2023-03-13 04:00:00+00:00,252.32,253.92,1,-1.5999999999999943,-0.6341154090044366,unknown,trend_following,Reversed position due to new LONG signal
AMZN,SHORT,2023-03-09 05:00:00+00:00,2023-03-13 04:00:00+00:00,92.25,92.43,1,-0.18000000000000682,-0.19512195121951958,unknown,trend_following,Reversed position due to new LONG signal
QQQ,SHORT,2023-03-09 05:00:00+00:00,2023-03-14 04:00:00+00:00,292.66,297.37,1,-4.7099999999999795,-1.6093760677919697,unknown,trend_following,Reversed position due to new LONG signal
GOOGL,SHORT,2023-03-09 05:00:00+00:00,2023-03-14 04:00:00+00:00,92.32,93.97,1,-1.6500000000000057,-1.7872616984402143,unknown,trend_following,Reversed position due to new LONG signal
NVDA,SHORT,2023-03-09 05:00:00+00:00,2023-03-14 04:00:00+00:00,234.36,240.63,1,-6.269999999999982,-2.6753712237583125,unknown,trend_following,Reversed position due to new LONG signal
AMD,SHORT,2023-03-10 05:00:00+00:00,2023-03-14 04:00:00+00:00,82.67,87.45,1,-4.780000000000001,-5.782024918350068,unknown,trend_following,Reversed position due to new LONG signal
AMZN,LONG,2023-03-13 04:00:00+00:00,2023-03-24 04:00:00+00:00,92.43,98.13,1,5.699999999999989,6.166828951639065,unknown,trend_following,Reversed position due to new SHORT signal
AAPL,LONG,2023-03-13 04:00:00+00:00,2023-03-27 04:00:00+00:00,150.47,158.28,1,7.810000000000002,5.19040340267163,unknown,trend_following,Reversed position due to new SHORT signal
GOOGL,LONG,2023-03-14 04:00:00+00:00,2023-03-27 04:00:00+00:00,93.97,102.46,1,8.489999999999995,9.034798339895705,unknown,trend_following,Reversed position due to new SHORT signal
AMD,LONG,2023-03-14 04:00:00+00:00,2023-03-27 04:00:00+00:00,87.45,96.61,1,9.159999999999997,10.474556889651225,unknown,trend_following,Reversed position due to new SHORT signal
QQQ,LONG,2023-03-14 04:00:00+00:00,2023-03-28 04:00:00+00:00,297.37,307.12,1,9.75,3.27874365268857,unknown,trend_following,Reversed position due to new SHORT signal
MSFT,LONG,2023-03-13 04:00:00+00:00,2023-03-28 04:00:00+00:00,253.92,275.23,1,21.31000000000003,8.392407057340908,unknown,trend_following,Reversed position due to new SHORT signal
NVDA,LONG,2023-03-14 04:00:00+00:00,2023-03-28 04:00:00+00:00,240.63,264.1,1,23.470000000000027,9.7535635623156,unknown,trend_following,Reversed position due to new SHORT signal
QQQ,SHORT,2023-03-28 04:00:00+00:00,2023-03-29 04:00:00+00:00,307.12,312.72,1,-5.600000000000023,-1.8233915082052692,unknown,trend_following,Reversed position due to new LONG signal
AAPL,SHORT,2023-03-27 04:00:00+00:00,2023-03-29 04:00:00+00:00,158.28,160.77,1,-2.490000000000009,-1.5731614859742287,unknown,trend_following,Reversed position due to new LONG signal
MSFT,SHORT,2023-03-28 04:00:00+00:00,2023-03-29 04:00:00+00:00,275.23,280.51,1,-5.279999999999973,-1.918395523743768,unknown,trend_following,Reversed position due to new LONG signal
AMZN,SHORT,2023-03-24 04:00:00+00:00,2023-03-29 04:00:00+00:00,98.13,100.25,1,-2.1200000000000045,-2.1603994700907005,unknown,trend_following,Reversed position due to new LONG signal
NVDA,SHORT,2023-03-28 04:00:00+00:00,2023-03-29 04:00:00+00:00,264.1,269.84,1,-5.739999999999952,-2.1734191594092964,unknown,trend_following,Reversed position due to new LONG signal
AMD,SHORT,2023-03-27 04:00:00+00:00,2023-03-30 04:00:00+00:00,96.61,97.88,1,-1.269999999999996,-1.3145637097608902,unknown,trend_following,Reversed position due to new LONG signal
GOOGL,SHORT,2023-03-27 04:00:00+00:00,2023-03-31 04:00:00+00:00,102.46,103.73,1,-1.2700000000000102,-1.239508100722243,unknown,trend_following,Reversed position due to new LONG signal
