symbol,direction,entry_date,entry_price,shares,position_size,signal_score,market_regime,sector,exit_price,exit_date,profit_loss,profit_loss_pct
TTWO,SHORT,2024-01-06,145.04016047448403,137,20000.0,0.9199999999999999,BULLISH,Communication Services,150.36974059032573,2024-01-11,-730.152475870314,-3.674554756700859
TXN,SHORT,2024-01-08,121.7475845455791,164,20000.0,0.9199999999999999,BULLISH,Technology,116.50048816563235,2024-01-18,860.5238063112677,4.3098155906184585
DELL,LONG,2024-01-03,99.15398939810282,151,15000.0,0.85,BULLISH,Technology,105.18264136306912,2024-01-12,910.3264467099114,6.080090172429958
GEV,LONG,2024-01-03,160.72384584323575,93,15000.0,0.85,BULLISH,Unknown,156.2171531501025,2024-01-08,-419.1224204613932,-2.8039975459079898
LLY,LONG,2024-01-08,149.8948460628629,100,15000.0,0.85,BULLISH,Healthcare,158.87502019266557,2024-01-19,898.0174129802663,5.990982589245639
OMC,LONG,2024-01-03,118.77517151362494,126,15000.0,0.85,BULLISH,Communication Services,114.34748075172165,2024-01-07,-557.8890359998148,-3.727791511877872
DGX,LONG,2024-01-06,177.09549038379225,84,15000.0,0.85,BULLISH,Unknown,183.82019283185426,2024-01-21,564.8750056372083,3.797218344458449
AEP,LONG,2024-01-02,87.84529083563687,170,15000.0,0.8,BULLISH,Utilities,91.64952492339711,2024-01-11,646.71979491924,4.330606742344519
FI,LONG,2024-01-09,146.35749041908431,102,15000.0,0.8,BULLISH,Unknown,152.7607608636616,2024-01-14,653.1335853468834,4.3750889867282865
ACN,SHORT,2024-01-02,252.97360789304648,59,15000.0,0.82,BULLISH,Unknown,241.81978583198605,2024-01-08,658.075501602565,4.409085261485505
ADP,SHORT,2024-01-07,123.34364425680138,121,15000.0,0.82,BULLISH,Unknown,125.36670922439276,2024-01-12,-244.7908610785571,-1.6401858237456897
EPAM,SHORT,2024-01-07,119.2549486416462,125,15000.0,0.82,BULLISH,Unknown,122.66791618789058,2024-01-09,-426.62094328054854,-2.861908528844485
XOM,SHORT,2024-01-04,88.55128483726637,169,15000.0,0.82,BULLISH,Energy,85.03401133793149,2024-01-13,594.4192213875942,3.972018594420946
KDP,SHORT,2024-01-06,220.7701814899282,67,15000.0,0.82,BULLISH,Unknown,226.4825406414581,2024-01-10,-382.72806315250205,-2.5874686123725725
SWKS,SHORT,2024-01-03,239.2466181841433,62,15000.0,0.82,BULLISH,Unknown,230.6850895323912,2024-01-14,530.8147764086301,3.5785369576937773
TROW,SHORT,2024-01-02,239.2466181841433,62,15000.0,0.82,BULLISH,Financials,230.0680408077812,2024-01-16,569.071797334451,3.8364502060788057
APD,SHORT,2024-01-05,269.5044169787253,55,15000.0,0.8099999999999999,BULLISH,Materials,256.58675810396295,2024-01-18,710.4712381119302,4.793115830744288
